Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;posti_abitativi;posti_letto;MUNICIPIO;LONGIT;LATIT;Location
VA/2841;VIA TORINO N. 34 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;VIA TORINO;34;543;1;4;1;9.18584910114;45.4620742439;45.4620742439, 9.18584910114
VA/77;Via CERVA N. 16 (z.d. 1);ATTIVITA RICETTIVE - Case vacanza;Via CERVA;16;314;3;9;1;9.19887750542;45.4642515799;45.4642515799, 9.19887750542
VA/559;Via MERAVIGLI N. 16 (z.d. 1)Viale TEODORICO N. 19 (z.d. 8)Via GIOIA MELCHIORRE N. 114 (z.d. 2)Corso VERCELLI N. 52 (z.d. 7)Ripa PORTA TICINESE (DI) N. 5 (z.d. 6)Via PICHI MARIO N. 9 (z.d. 6)Via MAROCHETTI CARLO N. 9 (z.d. 4)Via COLONNA MARCO ANTONIO N. 38 (z.d. 8);ATTIVITA RICETTIVE - Case vacanza;;;;16;46;;;;
VA/1272;VIA INGANNI ANGELO N. 7 (z.d. 7);ATTIVITA RICETTIVE - Case vacanza;VIA INGANNI ANGELO;7;6672;1;5;6;9.12830168186;45.4454580379;45.4454580379, 9.12830168186
VA/1739;VIA PERGINE N. 3 (z.d. 8);ATTIVITA RICETTIVE - Case vacanza;VIA PERGINE;3;6463;1;4;8;9.13878665948;45.4878564589;45.4878564589, 9.13878665948
VA/75;ALZAIA NAVIGLIO GRANDE N. 8 (z.d. 6);ATTIVITA RICETTIVE - Case vacanza;ALZAIA NAVIGLIO GRANDE;8;658;17;41;;;;
VA/76;Via CALTAGIRONE 10;ATTIVITA RICETTIVE - Case vacanza;Via CALTAGIRONE;;1567;20;40;;;;
VA/94;Via BRUNI LEONARDO N. 25 (z.d. 9)Via BONOMI AMILCARE N. 7 (z.d. 9);ATTIVITA RICETTIVE - Case vacanza;;;;31;62;;;;
VA/2874;VIA OROMBELLI (DEGLI) N. 7 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA OROMBELLI (DEGLI);7;2579;1;2;3;9.23540576737;45.4835964816;45.4835964816, 9.23540576737
VA/81;Via PIZZI GIAN FRANCESCO N. 14 (z.d. 5);ATTIVITA RICETTIVE - Case vacanza;Via PIZZI GIAN FRANCESCO;14;4270;03;08;5;9.20195700304;45.4368883087;45.4368883087, 9.20195700304
VA/3219;VIA SETTALA LODOVICO N. 4 (z.d. 3);ATTIVITA RICETTIVE - Case vacanza;VIA SETTALA LODOVICO;4;2111;1;5;3;9.20314401425;45.4771178239;45.4771178239, 9.20314401425
VA/3220;VIA SARNO N. 30 (z.d. 2);ATTIVITA RICETTIVE - Case vacanza;VIA SARNO;30;1367;1;7;2;9.19536101809;45.4949399681;45.4949399681, 9.19536101809
